id,city,type,squareMeters,rooms,floor,floorCount,buildYear,latitude,longitude,centreDistance,poiCount,schoolDistance,clinicDistance,postOfficeDistance,kindergartenDistance,restaurantDistance,collegeDistance,pharmacyDistance,ownership,buildingMaterial,condition,hasParkingSpace,hasBalcony,hasElevator,hasSecurity,hasStorageRoom,price
c3901f628b64b3150d26182107b3f3ed,krakow,blockOfFlats,40.0,2.0,4.0,4.0,2013.0,50.0165,19.9091,4.8,6.0,0.913,0.621,0.32,0.152,0.332,3.124,0.26,condominium,,,yes,yes,yes,no,no,2200
56a0a9a2418328486bd904338fdf4534,krakow,tenement,114.0,5.0,4.0,4.0,1900.0,50.06217356,19.94075948,0.78,198.0,0.069,0.552,0.328,0.415,0.008,0.303,0.059,condominium,brick,,no,no,,no,no,4500
bfb7b5d42aae1323548a12ecce4dfe1a,krakow,apartmentBuilding,37.0,2.0,3.0,5.0,2022.0,50.1021,19.9578,5.38,5.0,0.417,1.076,0.524,0.109,0.29,2.865,0.496,condominium,brick,,yes,yes,yes,no,no,2700
a1941750cd5fb0cc4b5af0ca181f71f7,krakow,apartmentBuilding,39.0,2.0,5.0,5.0,2014.0,50.08051055,19.92544153,2.95,18.0,0.266,0.71,0.293,0.138,0.054,0.466,0.295,condominium,brick,premium,no,yes,yes,no,no,2750
8aacb607b1ffae0697c9044bb330f78f,krakow,apartmentBuilding,50.0,2.0,4.0,5.0,2021.0,50.0788649,19.937057,2.62,8.0,0.583,0.214,0.547,0.519,0.319,0.73,0.463,condominium,brick,premium,yes,yes,yes,no,no,5000
4b13e433088c71914fd6909599c328eb,krakow,apartmentBuilding,79.0,3.0,,5.0,2009.0,50.05601,19.959362,1.5,18.0,0.15,0.195,0.525,0.108,0.132,0.355,0.36,condominium,brick,,yes,no,yes,no,no,4500
b58fde68272fa0864ba49de2b4bf13e2,krakow,apartmentBuilding,56.0,2.0,3.0,4.0,2010.0,50.0598527,19.9278651,0.91,47.0,0.138,0.138,0.229,0.532,0.017,0.646,0.23,condominium,brick,,yes,yes,yes,no,no,4000
1940363a4e761167557606f0e0f5330c,krakow,blockOfFlats,53.0,2.0,4.0,4.0,,50.0259406,19.9199088,3.52,20.0,0.234,0.209,0.525,0.117,0.125,2.014,0.123,condominium,,,yes,no,,no,no,2500
c7fede595e839d542e19d2a05d8e351c,krakow,blockOfFlats,35.0,2.0,,10.0,1969.0,50.08785,19.90782,4.23,16.0,0.343,1.163,0.328,0.097,0.161,1.646,0.329,condominium,brick,,no,no,no,no,yes,2400
25553209bfe209ff1c6936110f0c540c,krakow,,40.0,2.0,7.0,8.0,2014.0,50.05601,19.959362,1.5,18.0,0.15,0.195,0.525,0.108,0.132,0.355,0.36,condominium,,,no,yes,yes,yes,no,2850
c75edce64fd64be8d0e313156dc0ae1b,krakow,apartmentBuilding,55.1,2.0,5.0,6.0,2014.0,50.05601,19.959362,1.5,18.0,0.15,0.195,0.525,0.108,0.132,0.355,0.36,condominium,brick,,no,yes,yes,no,no,3400
b50bd4fa0b07a709b4a4c49c5f35d4ab,krakow,blockOfFlats,62.5,3.0,1.0,2.0,2008.0,50.101734,19.869869,7.11,0.0,1.185,1.089,1.686,1.728,1.837,3.666,1.858,condominium,,,yes,yes,no,no,yes,3400
203f4ddbd55c8b07b6ebc40fc009a1a9,krakow,tenement,74.0,3.0,2.0,3.0,1950.0,50.0743,19.9068,3.09,17.0,0.468,0.521,0.464,0.231,0.167,0.685,0.235,condominium,brick,,no,no,no,no,no,3700
ff4c8c90673964b6105a6c1a3d1bc5e3,krakow,tenement,45.0,2.0,,5.0,,50.06919,19.96464,2.43,16.0,0.329,0.337,0.654,0.311,0.288,0.541,0.414,condominium,brick,,no,no,yes,no,no,2500
f02b68f0d8ffac86df187ad43eb035f0,krakow,blockOfFlats,46.0,2.0,2.0,2.0,,50.08306643,20.03606435,7.62,21.0,0.279,1.562,0.31,0.089,0.202,0.716,0.302,condominium,brick,,no,yes,no,no,no,2100
84637d8a176c11fe15039f92f8bca0ac,krakow,apartmentBuilding,55.0,2.0,5.0,7.0,2013.0,50.055947,19.961896,1.68,15.0,0.317,0.296,0.489,0.289,0.088,0.53,0.351,condominium,brick,premium,no,yes,yes,no,no,3500
b32082609ebb48835d5760c8e3b28678,krakow,tenement,55.0,2.0,,3.0,1908.0,50.0553668,19.93407175,0.31,59.0,0.213,0.714,0.198,0.279,0.027,0.163,0.451,condominium,brick,,no,no,yes,no,no,3800
baf3ec55d5f25b7a57e442e69a97707d,krakow,tenement,38.0,2.0,,4.0,,50.06807,19.93334,1.47,61.0,0.131,0.378,0.229,0.3,0.085,0.348,0.082,condominium,brick,,no,no,no,yes,no,2300
1052ecebc36cb30f88c39afbcdf2fc6d,krakow,blockOfFlats,50.0,2.0,3.0,4.0,,50.07410821,20.03700256,7.34,28.0,0.373,1.131,0.402,0.155,0.09,0.372,0.118,condominium,brick,premium,yes,no,,no,no,2500
d523b79e21be7ef4c6b42c4903a2de21,krakow,tenement,38.0,2.0,4.0,4.0,,50.0383643,19.9414288,1.89,27.0,0.117,0.985,0.115,0.226,0.018,1.112,0.093,condominium,brick,premium,no,no,yes,no,no,2270
b0c06724f14ae1571685f4cffaed776c,krakow,tenement,44.0,2.0,2.0,3.0,,50.0790693,19.9324076,2.68,11.0,0.26,0.2,0.525,0.455,0.421,0.531,0.444,condominium,brick,,no,no,no,no,no,3000
08832b5911ef9f7c314459aeaa8cf5ca,krakow,tenement,30.0,1.0,2.0,3.0,,50.0790693,19.9324076,2.68,11.0,0.26,0.2,0.525,0.455,0.421,0.531,0.444,condominium,brick,,no,yes,no,no,no,2100
7f1b90783e419e22f5dd5f705f3d16c4,krakow,tenement,30.0,1.0,3.0,3.0,,50.0790693,19.9324076,2.68,11.0,0.26,0.2,0.525,0.455,0.421,0.531,0.444,condominium,brick,,no,no,no,no,no,2100
9e9d41e5f18bfa5b303560d502393265,krakow,apartmentBuilding,75.5,3.0,4.0,5.0,2016.0,50.05499,19.96172,1.66,12.0,0.353,0.398,0.596,0.302,0.176,0.509,0.369,condominium,brick,,no,no,yes,yes,no,6000
